,Loan_Status,Applicant_Income,Loan_Amount,Loan_Tenure,Gender,Dependents,Marriage_Status,Occupation,Credit_Score,DOB
95,No,380472.0,81397,10,Female,Yes,Yes,Business,Low,1992
96,Yes,644418.0,159950,15,Female,No,No,Job,Medium,1970
97,Yes,639158.0,150326,5,Female,Yes,Yes,Business,Medium,1992
98,Yes,600767.0,118801,10,,No,No,Job,High,1999
99,Yes,564811.0,83088,20,Female,Yes,Yes,Job,Medium,1982
100,No,387694.0,53559,5,,Yes,Yes,Business,Low,1974
101,Yes,536903.0,119669,15,Female,No,Yes,Job,Low,1974
102,Yes,548592.0,127258,15,Female,No,Yes,Job,Medium,1971
103,No,,85770,20,Male,No,Yes,Job,Low,1977
104,No,575807.0,78684,15,,No,Yes,Job,Medium,1989
105,Yes,660607.0,77252,15,Male,No,No,Job,High,1993
106,Yes,882927.0,99838,20,Male,No,Yes,Business,High,1990
107,No,626186.0,130160,10,Female,Yes,No,Business,Low,1973
108,No,638632.0,104108,20,Female,No,No,Job,High,1975
109,No,,138849,5,Female,Yes,Yes,Job,Medium,1984
110,No,312184.0,65855,20,Female,Yes,Yes,Business,Medium,1986
111,Yes,,76701,10,,No,No,Job,Medium,1973
112,No,609034.0,116975,15,Male,Yes,Yes,Job,Medium,1979
113,Yes,969486.0,160281,10,Female,Yes,Yes,Job,High,1988
114,Yes,571145.0,106568,15,Male,No,Yes,Business,High,1972
115,Yes,645232.0,135957,5,Male,No,Yes,Job,Medium,1991
116,No,,131407,20,Female,No,Yes,Business,Medium,1987
117,Yes,424698.0,96219,20,,Yes,Yes,Job,Medium,1972
118,Yes,,106530,10,Male,No,Yes,Job,Medium,1987
119,No,712789.0,74605,20,Female,No,No,Job,High,1991
120,Yes,718654.0,151559,15,,No,Yes,Business,Low,1979
121,Yes,463591.0,53754,15,,No,No,Business,Medium,1970
122,Yes,810419.0,119324,10,Male,Yes,No,Job,High,1982
123,Yes,389722.0,39195,10,,No,No,Job,Medium,1973
124,Yes,688028.0,139153,10,,Yes,No,Business,Low,1972
125,No,,116135,10,Male,No,Yes,Job,Low,1998
126,Yes,451419.0,89512,20,,Yes,No,Business,High,1985
127,No,515055.0,128125,5,Female,Yes,No,Business,Medium,1996
128,Yes,614947.0,68198,20,Female,Yes,No,Business,High,1980
129,Yes,524478.0,58511,10,Female,No,No,Business,High,1999
130,No,367400.0,55498,15,Male,Yes,No,Business,Medium,1982
131,No,610284.0,140339,15,Male,No,Yes,Job,Medium,1982
132,No,440654.0,58311,20,Male,No,Yes,Job,Medium,1996
133,No,671038.0,103377,10,Female,No,No,Job,Medium,1974
134,No,462086.0,50956,10,Male,No,Yes,Business,High,1974
135,No,832490.0,178546,10,Male,No,Yes,Business,Medium,1970
136,Yes,482512.0,77803,5,Female,Yes,No,Business,High,1981
137,Yes,,117999,10,Female,No,No,Business,High,1980
138,Yes,722027.0,170067,10,,Yes,No,Job,Medium,1995
139,No,415370.0,56039,10,Female,Yes,Yes,Job,Medium,1995
140,No,634118.0,140209,15,,Yes,No,Business,High,1982
141,No,,86663,10,Male,Yes,Yes,Business,Medium,1989
142,No,358877.0,84274,10,Female,Yes,Yes,Business,High,1997
143,Yes,,124042,10,Male,Yes,Yes,Business,High,1998
144,Yes,638982.0,147690,15,Female,Yes,No,Job,Medium,2000
145,Yes,,71747,20,Female,No,Yes,Business,High,1981
146,No,414457.0,51957,15,Male,Yes,No,Job,Medium,1977
147,No,401931.0,63691,15,,No,No,Job,High,1971
148,No,,106441,10,Male,Yes,No,Job,Medium,1981
149,Yes,644547.0,86375,15,Female,Yes,No,Job,High,1981
150,Yes,637573.0,100253,10,Male,Yes,No,Job,High,1979
151,No,651967.0,77797,10,Female,Yes,Yes,Business,Medium,1994
152,No,497996.0,80632,15,,No,Yes,Job,Low,1975
153,Yes,634838.0,139888,20,Male,No,Yes,Job,High,1984
154,No,643960.0,110671,5,Female,No,Yes,Business,Medium,1972
155,Yes,492847.0,50615,15,Male,Yes,Yes,Job,Medium,1990
156,No,,143608,15,Male,Yes,No,Job,Medium,1992
157,No,671074.0,69842,5,Male,Yes,No,Job,Low,1994
158,Yes,421304.0,103192,10,Male,No,Yes,Business,High,2000
159,No,698483.0,83201,10,Male,Yes,Yes,Business,Low,1976
160,Yes,453797.0,93551,5,Male,No,Yes,Job,Medium,1991
161,No,2872248.0,1412666,10,Male,No,No,Business,Medium,2000
162,No,773789.0,173255,10,Female,Yes,No,Job,Low,1993
163,Yes,476897.0,97714,10,Male,Yes,No,Job,Medium,1976
164,Yes,744506.0,168198,15,Female,No,Yes,Business,Medium,1990
165,Yes,661917.0,163672,15,,No,Yes,Job,Medium,1997
166,Yes,723309.0,139744,25,Female,No,Yes,Job,Medium,1972
167,Yes,884518.0,162643,10,Male,Yes,Yes,Business,High,1998
168,Yes,563191.0,109391,15,Female,Yes,No,Job,Medium,1988
169,Yes,1947756.0,1051209,20,Female,Yes,Yes,Job,High,1985
170,Yes,466572.0,91104,15,Male,Yes,Yes,Job,Low,1970
171,No,477628.0,79991,10,,Yes,Yes,Job,Low,1979
172,Yes,588434.0,78124,15,Female,Yes,No,Job,Medium,1982
173,No,651172.0,76862,10,Male,No,No,Job,Medium,1998
174,No,641503.0,70726,10,Male,No,Yes,Job,High,1970
175,Yes,2172231.0,909060,15,Male,No,No,Job,High,1982
176,No,601950.0,64359,15,,Yes,No,Job,Low,1992
177,Yes,818030.0,151397,5,Female,No,No,Job,High,1994
178,No,560301.0,79884,20,Male,Yes,No,Business,Medium,2000
179,Yes,1008025.0,225475,15,Male,Yes,No,Job,Low,1970
180,No,693850.0,77111,10,Male,No,Yes,Job,Low,1983
181,No,1885704.0,505190,20,Female,Yes,Yes,Business,Medium,1975
182,Yes,439366.0,92063,10,Female,No,Yes,Job,Medium,1999
183,Yes,672370.0,127630,25,Male,No,No,Business,Medium,2000
184,No,,62127,15,,Yes,No,Business,Low,1996
185,No,,163754,5,Female,No,No,Job,Medium,1976
186,Yes,2012955.0,1398534,15,,No,No,Job,Medium,1984
187,No,589075.0,88102,15,Male,No,Yes,Business,High,1986
188,Yes,,71448,15,Female,No,Yes,Job,High,1981
189,No,372772.0,92579,25,Male,Yes,Yes,Job,Medium,1982
190,No,533022.0,103367,15,Male,No,Yes,Business,Low,1997
191,Yes,728459.0,130902,15,Female,No,Yes,Job,Low,1994
192,No,632114.0,142682,20,Female,No,Yes,Job,Low,1978
193,Yes,2065695.0,884901,15,Male,Yes,No,Job,Medium,1983
194,Yes,,102896,10,Female,No,No,Job,Medium,1977
195,No,657797.0,92201,20,Male,Yes,Yes,Job,Low,1993
196,No,467421.0,102072,10,Male,No,No,Business,Medium,1987
197,No,623058.0,115890,15,Male,No,Yes,Business,Medium,1972
198,No,3043655.0,1210300,20,Female,No,Yes,Job,Medium,1975
199,No,428554.0,59074,15,Female,Yes,No,Job,Low,1998
200,Yes,653668.0,86959,15,,Yes,Yes,Business,High,1974
201,No,684117.0,118527,15,,Yes,Yes,Job,Low,1986
202,Yes,762457.0,160600,10,Female,Yes,Yes,Job,High,1993
203,Yes,758070.0,135532,20,,Yes,No,Business,Medium,1972
204,Yes,393349.0,41261,10,Female,Yes,No,Business,Medium,1989
205,Yes,,105774,5,Male,No,No,Business,Medium,1985
206,No,677255.0,74296,10,,Yes,No,Job,Medium,1972
207,No,,164780,15,Female,No,Yes,Business,Low,1996
208,No,677257.0,70279,15,,Yes,No,Job,Medium,1973
209,Yes,,240490,20,Male,Yes,No,Job,High,1998
210,Yes,685633.0,77017,10,,Yes,No,Job,Medium,1989
211,Yes,,182262,10,Female,No,Yes,Business,High,1972
212,Yes,,126078,5,Male,Yes,No,Job,High,1993
213,Yes,697708.0,84163,10,Male,Yes,No,Job,Medium,1989
214,Yes,552709.0,83526,15,Male,No,Yes,Job,Low,1996
215,Yes,,89033,5,Male,No,Yes,Job,Medium,1970
216,Yes,,60793,10,Female,No,Yes,Job,Medium,1985
217,Yes,,136725,10,Male,No,Yes,Job,Medium,2000
218,No,527195.0,87929,5,Female,Yes,No,Business,High,1978
219,No,612281.0,133673,10,Female,No,Yes,Business,Low,1990
220,No,,185594,5,Female,Yes,No,Business,Medium,1997
221,No,959730.0,580053,15,Male,Yes,No,Job,Low,1977
222,Yes,702939.0,84179,20,Female,No,No,Business,High,1995
223,Yes,358092.0,48388,15,Male,Yes,No,Business,High,1981
224,No,2116840.0,1384491,25,Male,No,No,Job,Low,1994
225,No,763342.0,187488,10,Male,Yes,Yes,Business,Medium,1980
226,Yes,,84984,15,Female,No,No,Business,High,1997
227,No,438338.0,61689,25,Male,No,No,Business,High,1976
228,No,492704.0,84220,10,Male,No,No,Job,Low,1979
229,Yes,701939.0,173783,20,,No,Yes,Job,Medium,1985
230,Yes,490445.0,68830,5,Female,No,No,Business,Medium,1984
231,No,632468.0,101856,10,,No,No,Job,Medium,1978
232,No,606835.0,141830,5,Female,Yes,Yes,Job,Medium,1996
233,No,502259.0,50445,15,,Yes,No,Job,Low,1973
234,Yes,921591.0,97656,15,,Yes,No,Job,High,2000
235,Yes,695087.0,132491,15,Male,No,Yes,Job,Medium,1978
236,Yes,,69941,10,Male,Yes,No,Job,Low,1994
237,No,627968.0,85295,10,,No,No,Business,High,1975
238,No,500732.0,85347,5,Male,Yes,No,Business,Medium,1989
239,Yes,,121968,10,Female,Yes,No,Business,Medium,1979
240,Yes,,82245,20,Male,No,No,Job,Medium,1977
241,No,582789.0,112698,10,,Yes,Yes,Job,Medium,1971
242,Yes,675748.0,115189,20,Male,Yes,Yes,Job,Medium,1988
243,Yes,729863.0,121974,20,Male,Yes,Yes,Business,Medium,1990
244,No,,646851,10,,No,No,Job,Medium,1972
245,Yes,549824.0,103713,15,Male,Yes,No,Job,Medium,1986
246,Yes,528758.0,95467,5,Male,No,No,Job,High,1995
247,Yes,502000.0,114516,5,Female,Yes,Yes,Job,Medium,1970
248,No,864818.0,92902,5,Male,Yes,No,Job,Low,1976
249,Yes,660747.0,148666,15,Female,Yes,No,Job,Medium,1990
250,No,410867.0,93097,10,Female,Yes,No,Job,Medium,1973
251,No,737679.0,105293,15,Female,No,Yes,Job,Medium,1997
252,Yes,918323.0,155589,15,Male,Yes,Yes,Business,Low,1980
253,No,754869.0,125142,10,Male,No,No,Business,Low,1988
254,Yes,372094.0,49405,15,Male,No,No,Job,High,1992
255,No,527364.0,84124,15,,Yes,No,Business,Medium,1979
256,No,790036.0,84263,5,Male,Yes,Yes,Job,Medium,1973
257,No,,69965,10,Male,No,Yes,Business,Medium,1974
258,Yes,666572.0,148313,15,Female,No,Yes,Job,High,1987
259,No,716195.0,102189,10,Female,Yes,No,Business,Low,1970
260,Yes,460960.0,102670,15,Female,Yes,Yes,Business,High,1986
261,No,591071.0,106239,10,,Yes,No,Job,Medium,1985
262,No,,26401,10,Female,Yes,No,Business,Medium,1973
263,Yes,446341.0,83116,5,Female,Yes,Yes,Business,High,1979
264,No,562114.0,58712,10,Male,No,No,Business,Low,1975
265,No,412832.0,83108,15,,Yes,Yes,Job,Low,1980
266,No,,90170,10,Male,Yes,No,Business,Medium,1990
267,Yes,385478.0,64602,15,Male,No,No,Job,Medium,1976
268,Yes,533993.0,127845,20,Male,Yes,Yes,Job,High,1997
269,No,619611.0,77315,15,Female,Yes,No,Job,Medium,1978
270,Yes,816190.0,129350,15,Male,No,No,Job,High,1980
271,Yes,384620.0,80569,10,Female,Yes,No,Job,Medium,1998
272,Yes,774474.0,179940,10,Female,No,No,Business,Low,1986
273,Yes,601534.0,120692,15,,Yes,No,Job,High,1987
274,No,,62811,10,Female,Yes,No,Business,Low,1989
275,No,669315.0,134660,15,Male,Yes,No,Job,High,1993
276,No,,91020,5,Male,No,No,Job,Low,1989
277,Yes,,105952,15,Female,No,Yes,Job,High,1980
278,Yes,610470.0,148408,20,Male,No,Yes,Job,Medium,1985
279,Yes,542202.0,112891,20,Male,No,No,Business,High,1976
280,Yes,617027.0,141565,15,Male,Yes,No,Job,Low,1991
281,No,699319.0,70152,15,Female,No,Yes,Job,Medium,1973
282,Yes,837902.0,173978,15,Male,No,No,Business,High,1980
283,No,414327.0,92990,15,Female,No,Yes,Job,Medium,1983
284,Yes,919955.0,97592,5,Female,Yes,Yes,Job,Medium,1994
285,No,307186.0,70879,10,Male,Yes,Yes,Job,Medium,1982
286,Yes,577232.0,79949,10,Male,No,No,Job,Low,1999
287,No,688247.0,137507,25,Female,No,No,Business,Medium,1972
288,Yes,642148.0,141306,10,Female,Yes,No,Business,High,1979
289,No,506595.0,101014,15,Male,No,Yes,Job,High,1995
290,No,568781.0,64751,15,Male,No,Yes,Job,Medium,1991
291,No,526049.0,99659,15,Female,No,Yes,Business,Medium,1979
292,No,511595.0,93334,15,Female,No,No,Business,Medium,1974
293,No,727440.0,170983,10,Female,Yes,Yes,Job,High,1999
294,Yes,653552.0,104983,15,Female,Yes,Yes,Business,Medium,1995
295,No,,73497,20,Female,Yes,No,Business,Low,1985
296,No,734939.0,156158,10,Male,No,Yes,Business,High,1998
297,No,646094.0,104603,10,Female,No,Yes,Business,Medium,1988
298,No,721929.0,142158,15,Female,Yes,No,Job,Medium,1975
299,Yes,694444.0,136782,20,Male,Yes,No,Job,Medium,1988
300,Yes,475650.0,110924,5,Male,Yes,Yes,Business,Medium,1987
301,No,515972.0,97933,15,Female,No,No,Business,Medium,1994
302,No,712094.0,124846,20,Female,Yes,Yes,Business,Low,1999
303,Yes,691555.0,83561,10,Male,No,No,Job,High,1970
304,No,596864.0,70048,25,Female,No,Yes,Business,Medium,1981
305,No,617599.0,76056,15,Female,Yes,No,Job,High,1978
306,Yes,791649.0,99571,15,Male,Yes,Yes,Job,Medium,1986
307,No,511264.0,100044,15,Female,No,No,Business,Medium,2000
308,No,682064.0,144015,5,,Yes,No,Business,Medium,1973
309,No,569671.0,102255,10,Male,Yes,No,Business,High,1988
310,No,567347.0,127285,10,Male,No,No,Job,Medium,1972
311,Yes,764816.0,190201,10,Male,No,No,Job,Medium,1999
312,Yes,723812.0,161411,10,Female,No,No,Business,Medium,1973
313,Yes,722026.0,147461,20,Male,No,No,Job,Medium,1997
314,Yes,795821.0,143147,20,,No,Yes,Business,Medium,1980
315,No,603150.0,100923,15,Female,Yes,Yes,Job,Low,1976
316,Yes,702292.0,79119,20,,No,No,Job,Medium,1982
317,Yes,553459.0,88501,15,Female,No,No,Job,Medium,1995
318,No,648624.0,153412,10,Female,No,Yes,Job,Low,1981
319,Yes,580478.0,128403,10,Male,Yes,Yes,Job,High,1976
320,No,614549.0,81371,15,Male,No,No,Job,High,1999
321,Yes,689273.0,117170,15,,No,Yes,Job,Medium,1971
322,No,477266.0,106195,10,Male,No,Yes,Job,Medium,1974
323,No,913858.0,100622,15,Female,Yes,No,Business,Low,1985
324,Yes,449097.0,71006,5,Male,No,No,Business,Low,1993
325,No,417871.0,95181,15,Female,No,No,Job,Medium,1997
326,Yes,3094864.0,993974,20,Female,No,Yes,Job,Medium,1976
327,Yes,718749.0,80242,15,Male,Yes,No,Job,Medium,1984
328,Yes,693617.0,125808,25,Male,Yes,No,Job,Medium,1999
329,Yes,694251.0,159164,20,Male,Yes,Yes,Job,Medium,1977
330,Yes,598162.0,112779,20,Male,Yes,No,Job,Medium,1997
331,Yes,465411.0,62338,20,Female,No,Yes,Job,Medium,1996
332,Yes,3056850.0,963738,20,,No,Yes,Job,High,1988
333,No,498425.0,83495,15,Male,Yes,Yes,Business,Medium,1978
334,No,746267.0,139469,5,Female,Yes,Yes,Business,High,1981
335,Yes,577941.0,123623,10,Female,No,Yes,Job,Low,1991
336,Yes,2380875.0,546796,15,Female,No,Yes,Business,High,1996
337,No,551792.0,128814,10,Male,Yes,No,Job,Low,1984
338,Yes,,67416,10,Female,Yes,No,Business,Medium,1974
339,Yes,,80155,25,,Yes,No,Business,Medium,1996
340,No,476666.0,49627,20,Male,Yes,Yes,Job,Medium,1985
341,Yes,636553.0,101177,20,Female,No,No,Job,Medium,1987
342,No,,113895,10,Female,Yes,Yes,Business,Medium,1989
343,Yes,523958.0,92610,5,Male,Yes,No,Job,Medium,1994
344,No,529344.0,66085,5,Female,No,Yes,Job,Medium,1988
345,No,634807.0,124968,10,Female,No,No,Job,Medium,1976
346,No,382787.0,40849,5,,No,Yes,Business,Medium,1992
347,Yes,388880.0,83331,5,,No,No,Job,High,1986
348,No,492233.0,119118,20,Male,No,Yes,Job,Medium,1997
349,No,,85745,15,Male,Yes,No,Business,Low,1996
350,Yes,646636.0,114833,10,Female,Yes,Yes,Job,High,1979
351,Yes,821303.0,128810,5,,Yes,No,Job,Medium,1977
352,No,728648.0,73598,15,Male,No,No,Job,Medium,1970
353,Yes,576009.0,90940,5,Male,Yes,No,Job,Medium,1978
354,Yes,597147.0,130630,20,Male,No,Yes,Business,High,1995
355,No,449620.0,85157,10,Female,Yes,Yes,Business,Medium,2000
356,Yes,597223.0,68793,10,,Yes,Yes,Job,High,1973
357,Yes,556701.0,126410,10,Female,No,Yes,Job,High,1997
358,Yes,648407.0,116494,5,Male,No,Yes,Job,Medium,1996
359,No,1903660.0,1292157,15,Male,Yes,No,Job,Medium,1978
360,Yes,677901.0,126790,15,Male,Yes,Yes,Business,Low,1994
361,Yes,829910.0,152664,15,Female,Yes,No,Business,High,1995
362,Yes,583685.0,67584,5,,Yes,No,Job,Medium,1975
363,No,660256.0,82600,15,Female,Yes,Yes,Business,High,1986
364,Yes,703521.0,172928,15,Male,No,No,Job,Medium,1979
365,No,,72482,20,Female,No,Yes,Business,Low,1976
366,No,633613.0,156260,10,Female,No,Yes,Job,Low,1990
367,No,1805664.0,649268,10,Male,No,Yes,Business,High,1987
368,No,614651.0,73984,15,Male,Yes,No,Job,Medium,1980
369,Yes,,55614,15,Female,Yes,Yes,Job,Medium,1976
370,Yes,603676.0,79280,10,Female,No,Yes,Business,High,1994
371,No,,161148,10,Female,Yes,Yes,Business,High,1974
372,No,,132562,10,Female,No,No,Business,Low,1987
373,Yes,743890.0,118512,20,Male,Yes,Yes,Job,Low,1981
374,No,,135660,10,Male,Yes,No,Business,Low,1988
375,No,484897.0,59186,20,Male,Yes,No,Job,Medium,1999
376,No,730848.0,126566,15,,No,Yes,Job,Medium,1995
377,Yes,627501.0,74990,20,Female,No,No,Job,Medium,1978
378,Yes,928470.0,209204,20,Male,No,No,Business,High,1975
379,Yes,478755.0,74474,10,,No,Yes,Job,High,1981
380,No,474041.0,74054,20,,Yes,Yes,Business,Medium,1985
381,No,510091.0,87277,5,Female,Yes,Yes,Job,Medium,1997
382,No,281415.0,46889,20,Male,Yes,No,Job,Low,1975
383,Yes,521136.0,129882,15,Male,Yes,Yes,Job,Low,1978
384,No,486130.0,88381,5,Male,No,No,Job,Low,1978
385,No,622559.0,70492,15,Female,Yes,No,Business,Low,1983
386,Yes,651263.0,124411,25,Female,Yes,No,Business,High,1991
387,No,881425.0,108184,5,Female,Yes,No,Job,Medium,1999
388,Yes,742563.0,77702,15,,No,No,Business,Medium,1970
389,Yes,513464.0,126112,15,Female,No,Yes,Job,High,1980
390,No,465237.0,100505,20,Female,No,Yes,Job,Low,1985
391,No,,166436,10,,Yes,No,Job,Low,1982
392,No,401965.0,69010,10,Male,No,No,Job,High,1995
393,No,874718.0,157308,5,,Yes,Yes,Job,High,1980
394,Yes,776916.0,97309,15,Male,Yes,Yes,Job,Medium,1973
395,Yes,529623.0,72577,10,Female,Yes,No,Job,Medium,1996
396,No,343029.0,77449,20,Male,No,No,Job,Low,1984
397,Yes,803080.0,123214,5,Female,No,Yes,Business,High,1995
398,No,582819.0,130564,15,Male,Yes,Yes,Business,High,1991
399,Yes,785672.0,162125,5,Male,Yes,No,Job,High,1984
400,Yes,360835.0,45672,5,Female,No,Yes,Job,High,1989
401,Yes,510093.0,89836,10,Female,No,Yes,Job,High,1972
402,No,600786.0,121123,10,Male,No,No,Business,Low,2000
403,No,607047.0,82106,15,Male,Yes,No,Business,Medium,1984
404,No,532490.0,119598,20,Female,Yes,No,Business,Medium,1994
405,No,693427.0,126012,15,Male,Yes,Yes,Business,High,1994
406,Yes,439856.0,54888,25,,No,No,Business,High,1971
407,No,,108465,20,,No,Yes,Job,Low,1997
408,No,618044.0,154484,15,Male,No,No,Job,Medium,1970
409,No,677165.0,83005,20,Female,Yes,No,Job,Medium,1982
410,No,706742.0,157259,15,Male,Yes,Yes,Business,Medium,1979
411,No,431303.0,56542,5,,No,Yes,Business,Medium,1994
412,Yes,369882.0,80396,15,Female,Yes,No,Job,Medium,1970
413,No,791651.0,166394,5,Male,No,No,Job,Medium,1987
414,No,649847.0,94275,15,Female,Yes,Yes,Business,Low,1996
415,Yes,487727.0,72609,15,Female,No,No,Job,High,1997
416,No,832672.0,182253,5,Female,Yes,Yes,Business,Medium,1997
417,Yes,,104466,10,Male,Yes,Yes,Job,High,1970
418,No,776894.0,162854,20,Female,No,No,Job,Medium,1982
419,No,610127.0,74556,15,Male,No,Yes,Business,Low,1995
420,No,909112.0,207171,10,Female,No,Yes,Job,Medium,1980
421,No,863301.0,178386,15,Female,No,Yes,Business,Medium,1996
422,Yes,562655.0,132809,15,Female,No,No,Job,Low,1995
423,No,,89380,15,,Yes,Yes,Job,Medium,1970
424,No,696806.0,131663,25,,No,No,Job,High,1996
425,Yes,805294.0,152899,15,Female,No,No,Job,High,1984
426,No,455261.0,69663,10,Female,No,No,Job,Medium,1983
427,Yes,702907.0,118629,20,Male,Yes,Yes,Business,Medium,1991
428,Yes,758763.0,80199,20,,No,Yes,Job,Medium,1981
